asset_id,serial_number,asset_type,purchase_date,cost,os_version,status,location,owner_emp_id,warranty_expiry,last_audit_date
A0480,KO1837645,Docking Station,2024-11-16,208.9,,Pending Disposal,Warehouse,59.0,2027-11-16,2025-12-01
A0481,XD8814743,Docking Station,2024-12-10,154.09,,In Use,Warehouse,39.0,2027-12-10,2026-04-28
A0482,LH1365024,Laptop,2021-04-03,2064.49,macOS 13,In Use,Remote,34.0,2024-04-02,2024-12-01
A0483,PK0979251,Desktop,2021-06-07,1771.38,Windows 10,In Storage,Building B,,2022-06-07,2025-03-25
A0484,IF5005281,Desktop,2024-07-13,1333.26,macOS 14,Retired,Building B,12.0,2027-07-13,2024-06-06
A0485,QC5730652,Monitor,2026-08-08,432.17,,Retired,Building A,46.0,2029-08-07,2025-03-09
A0486,WU4873928,Desktop,2022-10-17,1319.42,Windows 11,Pending Disposal,Warehouse,12.0,2027-10-16,2025-12-05
A0487,SQ9821827,Laptop,2021-08-28,1017.33,Windows 11,In Storage,Building A,34.0,2026-08-27,2025-05-10
A0488,PU8620959,Laptop,2022-11-28,1331.25,macOS 15,In Storage,Building B,22.0,2025-11-27,2025-11-23
A0489,PU8620959,Monitor,2024-05-03,170.84,,In Storage,Building B,50.0,2025-05-03,2024-09-12
A0490,CM1181022,Monitor,2024-03-20,486.2,,Retired,Remote,38.0,2025-03-20,2024-01-20
A0491,QD0967899,Monitor,2021-01-26,255.62,,In Storage,Building B,47.0,2026-01-25,2024-10-30
A0492,XJ1037170,Docking Station,2023-12-21,229.84,,In Storage,Warehouse,15.0,2026-12-20,2025-12-17
A0493,TE5094801,Docking Station,2025-12-17,161.36,,Retired,Building B,12.0,2026-12-17,2026-07-26
A0494,HQ1138633,Docking Station,2026-06-15,270.15,,In Use,Building B,39.0,2029-06-14,2024-06-23
A0495,RD2886195,Desktop,2024-02-09,1403.61,Windows 10,Pending Disposal,Building B,22.0,2025-02-08,2025-11-02
A0496,QK1228685,Desktop,2022-09-20,1081.49,macOS 13,In Storage,Building A,53.0,2025-09-19,2025-05-02
A0497,UU5585566,Docking Station,2023-12-06,102.28,,In Storage,Building B,45.0,2024-12-05,2025-07-22
A0498,ZA3684577,Monitor,2023-09-03,239.83,,In Use,Building A,4.0,2028-09-01,2025-11-29
A0499,ON9082404,Docking Station,2026-08-11,246.52,,In Storage,Remote,32.0,2031-08-10,2026-04-19
A0500,GC4888992,Monitor,2019-11-19,341.11,,In Use,Remote,51.0,2022-11-18,2025-02-10
